,home,place,match_id,team_name,score,overs,rr,bata,batsr,bbp,balla,eco,ballsr,dbp,wickets_lost,sum_extras,nb,w,lb,pen,b,datetime,winner
97,0,Pallekele International Cricket Stadium,100571,Australia,282,42.3,6.63,35.25,72.789,27.11774074981622,38.0,5.661428571428571,36.75,48.670634920634924,8,12,0.0,5.0,1.0,0.0,6.0,2022-06-14 09:00:00,1
98,1,Adelaide Oval,100700,Australia,291,46.5,6.21,72.75,89.84499999999998,48.29964931709117,26.75,5.913333333333333,29.5,48.664021164021165,4,11,0.0,6.0,5.0,0.0,0.0,2022-11-17 03:20:00,1
99,0,Adelaide Oval,100700,England,287,50,5.74,31.88888888888889,75.08272727272727,26.30770700644456,46.5,6.218333333333334,42.0,50.96320346320346,9,13,2.0,9.0,2.0,0.0,0.0,2022-11-17 03:20:00,0
100,1,SCG,100701,Australia,280,50,5.6,35.0,75.27222222222223,29.823568317486536,13.166666666666666,5.466666666666666,15.916666666666666,50.63105326876513,8,12,1.0,1.0,6.0,0.0,4.0,2022-11-19 03:20:00,1
101,0,SCG,100701,England,208,38.5,5.35,20.8,74.18727272727273,37.13471872075668,21.5,5.571666666666666,25.25,44.35626102292769,10,8,1.0,6.0,1.0,0.0,0.0,2022-11-19 03:20:00,0
102,1,MCG,100702,Australia,355,48,7.39,71.0,145.65571428571428,39.16658222375345,16.35,4.37,24.5,63.897759103641455,5,14,1.0,9.0,4.0,0.0,0.0,2022-11-22 03:20:00,1
103,0,MCG,100702,England,142,31.4,4.48,14.2,68.65181818181817,41.23704578250033,48.125,7.306,37.5,38.37037037037037,10,13,0.0,11.0,2.0,0.0,0.0,2022-11-22 03:20:00,0
104,1,Cazaly's Stadium,100712,Australia,233,45.0,5.17,29.125,60.386,19.71605063805989,26.083333333333336,4.605,37.25,53.39506172839506,8,12,0.0,6.0,5.0,0.0,1.0,2022-09-06 04:20:00,1
105,0,Cazaly's Stadium,100712,New Zealand,232,50,4.64,25.77777777777778,87.40363636363635,37.26353440964159,21.666666666666668,5.058333333333334,24.0,53.858024691358025,9,15,0.0,5.0,6.0,0.0,4.0,2022-09-06 04:20:00,0
106,1,Cazaly's Stadium,100713,Australia,195,50,3.9,21.666666666666668,54.17181818181818,31.82601582684113,6.875,2.546666666666667,16.2,71.33597883597884,9,3,0.0,2.0,1.0,0.0,0.0,2022-09-08 04:20:00,1
107,0,Cazaly's Stadium,100713,New Zealand,82,33,2.48,8.2,43.03454545454545,17.39156268568033,20.375,4.206666666666666,34.25,60.7142857142857,10,2,0.0,2.0,0.0,0.0,0.0,2022-09-08 04:20:00,0
108,1,Cazaly's Stadium,100714,Australia,267,50,5.34,53.4,104.11,36.34746206174778,30.4,4.71,37.53333333333334,54.73399246704332,5,14,1.0,8.0,5.0,0.0,0.0,2022-09-11 04:20:00,1
109,0,Cazaly's Stadium,100714,New Zealand,242,49.5,4.85,24.2,69.81636363636363,39.01036709547348,44.375,5.103333333333333,52.5,48.61111111111112,10,8,0.0,4.0,4.0,0.0,0.0,2022-09-11 04:20:00,0
110,1,Wankhede Stadium,101865,India,191,39.5,4.79,38.2,53.53,45.96825396825397,23.066666666666663,5.141666666666667,25.666666666666668,64.9673202614379,5,19,1.0,13.0,5.0,0.0,0.0,2023-03-17 08:00:00,1
111,0,Wankhede Stadium,101865,Australia,188,35.4,5.27,18.8,59.82363636363636,48.57047554017251,14.916666666666666,4.626666666666667,20.333333333333336,56.104833647206526,10,10,0.0,3.0,7.0,0.0,0.0,2023-03-17 08:00:00,0
